1788905705,86,31875,3,72.99
1788905710,70,20265,2,76.60
1788905715,61,20277,2,74.63
1788905720,53,11116,2,72.57
1788905726,62,11171,2,70.93
1788905731,55,11203,2,70.53
1788905736,60,11241,2,73.29
1788905741,63,11267,2,71.27
1788905746,61,11143,2,70.68
1788905751,67,11153,2,68.15
1788905756,67,11191,2,67.01
1788905761,65,11227,2,65.49
1788905766,64,11275,2,64.65
1788905771,63,11279,2,63.40
1788905776,60,11133,2,62.56
1788905781,59,11167,2,61.64
1788905786,59,11206,2,61.03
1788905792,65,11061,2,59.34
1788905797,62,11643,2,62.36
1788905802,55,13204,2,61.53
1788905807,62,13240,2,60.04
1788905812,62,13278,2,59.00
1788905817,60,13314,2,57.64
1788905822,67,13350,2,56.39
1788905827,67,13384,2,55.23
1788905832,54,13422,2,59.14
1788905837,68,13460,2,58.01
1788905842,68,15897,2,59.29
1788905847,63,17489,2,63.99
1788905853,67,17503,2,61.99
1788905858,58,17503,2,60.15
1788905863,70,17503,2,58.21
1788905868,81,18469,2,58.92
1788905873,71,20431,2,59.16
1788905878,76,19911,2,58.03
1788905883,73,19939,2,64.83
1788905888,71,19977,2,65.33
1788905893,77,19999,2,63.70
1788905898,78,20027,2,62.60
1788905903,75,20055,2,61.19
