1788902627,69,10658,1,176.75
1788902632,48,10682,1,177.41
1788902638,57,10718,1,177.54
1788902643,69,11254,2,176.13
1788902648,68,11282,2,173.40
1788902653,68,11326,2,172.57
1788902658,53,11354,2,171.24
1788902663,65,11384,2,168.50
1788902668,81,11422,2,169.58
1788902673,60,11454,2,167.13
1788902678,49,11454,2,164.72
1788902684,64,11454,2,161.06
1788902689,60,11579,2,159.13
1788902694,62,11579,2,159.92
1788902699,58,11027,2,160.81
1788902704,39,11053,2,163.46
1788902709,68,11095,2,164.53
1788902714,68,11121,2,163.37
1788902719,70,11157,2,161.17
1788902725,66,11193,2,159.32
1788902730,33,11169,2,158.89
1788902735,55,11193,2,161.06
1788902740,68,13825,2,162.42
1788902745,59,13851,2,159.66
1788902750,82,13883,2,147.68
1788902755,90,13799,2,136.65
1788902760,89,13843,2,126.35
