1788904940,83,20127,2,58.00
1788904945,72,20135,2,65.60
1788904950,80,20157,2,65.08
1788904956,81,20758,3,68.27
1788904961,84,20868,3,69.13
1788904966,85,20916,3,70.08
1788904971,93,20924,3,69.04
1788904976,85,20944,3,67.19
1788904981,85,20814,3,69.58
1788904986,60,20820,3,67.93
1788904991,83,20844,3,69.46
1788904997,90,20868,3,69.98
1788905002,88,20914,3,68.46
1788905007,85,20940,3,68.26
1788905012,86,20952,3,71.69
1788905017,86,20974,3,70.27
1788905022,81,20846,3,69.05
1788905027,84,20908,3,69.52
1788905032,92,21189,3,73.33
1788905037,87,23019,3,71.06
1788905042,82,23041,3,69.69
1788905048,85,23057,3,67.47
1788905053,90,23079,3,66.55
1788905058,83,23101,3,66.83
1788905063,86,23125,3,65.40
1788905068,87,22979,3,64.09
1788905073,83,22983,3,63.36
1788905078,89,23007,3,65.73
1788905083,84,23015,3,67.60
1788905088,85,24174,3,66.35
1788905094,86,28972,3,64.32
1788905099,85,29005,3,64.37
1788905104,86,29029,3,65.94
1788905109,83,29053,3,65.15
1788905114,85,30381,3,65.62
1788905119,86,31425,3,66.29
1788905124,80,31447,3,65.14
1788905129,89,31451,3,69.38
1788905134,92,31489,3,72.71
1788905140,71,31489,3,71.93
1788905145,90,31503,3,72.46
1788905150,19,20169,2,71.14
