1788902073,81,10386,1,10.91
1788902078,77,10434,1,10.44
1788902083,82,11130,2,12.88
1788902088,77,11193,2,12.89
1788902093,75,11239,2,14.98
1788902098,78,11095,2,14.26
1788902103,73,11145,2,13.84
1788902108,73,11179,2,13.21
1788902113,82,11253,2,15.52
1788902118,77,11185,2,14.84
1788902123,80,13080,2,14.77
1788902128,82,15934,2,14.15
1788902133,82,18014,2,13.73
1788902138,92,19495,2,13.43
1788902143,93,19523,2,13.08
1788902148,93,19547,2,12.67
1788902154,90,19573,2,11.98
1788902159,90,19597,2,11.42
1788902164,90,19623,2,10.82
1788902169,89,19649,2,10.28
1788902174,92,19683,2,10.01
1788902179,88,19707,2,9.61
1788902184,92,19731,2,10.96
1788902189,91,19758,2,13.05
1788902194,95,19781,2,13.28
1788902199,90,19807,2,13.10
1788902204,90,19835,2,12.69
1788902209,88,19927,2,12.07
1788902214,93,19951,2,11.67
1788902220,91,19987,2,11.21
1788902225,91,20013,2,10.48
1788902230,94,20035,2,10.36
1788902235,90,20059,2,10.09
1788902240,96,20083,2,10.16
1788902245,94,20084,2,10.31
1788902250,90,20083,2,9.96
1788902255,94,20083,2,9.89
1788902260,91,20083,2,9.57
1788902265,92,20083,2,9.29
1788902270,91,20083,2,9.59
1788902275,94,19543,2,10.02
1788902280,84,19583,2,9.78
1788902285,89,19605,2,10.04
1788902291,90,19631,2,10.91
1788902296,87,19657,2,11.64
1788902301,90,19677,2,11.59
1788902306,93,19701,2,12.34
1788902311,87,19725,2,12.80
1788902316,95,19543,2,13.29
1788902321,91,19571,2,13.99
1788902326,88,19597,2,15.11
1788902331,90,19619,2,15.99
1788902336,89,19645,2,16.87
1788902341,86,19667,2,18.56
1788902346,89,19687,2,19.00
1788902351,82,19711,2,22.28
1788902357,90,19733,2,24.58
1788902362,88,19565,2,25.01
1788902367,95,19587,2,26.37
1788902372,83,19609,2,27.31
1788902377,90,19635,2,27.76
1788902382,86,19657,2,28.82
1788902387,81,19681,2,29.08
1788902392,85,19703,2,31.79
1788902397,85,19565,2,33.09
1788902402,80,19583,2,35.41
1788902407,83,19605,2,36.66
1788902413,84,19631,2,40.85
1788902418,85,19657,2,42.06
1788902423,89,19677,2,43.58
1788902428,86,19701,2,44.25
1788902433,79,19725,2,51.04
1788902438,79,19751,2,61.69
1788902443,80,19766,2,63.79
1788902448,47,19789,2,66.69
1788902453,88,19803,2,69.04
1788902459,75,19831,2,72.96
1788902464,77,19853,2,77.77
1788902469,79,19873,2,84.27
1788902474,78,19897,2,86.73
1788902479,80,19921,2,93.13
1788902484,84,19943,2,99.93
1788902489,71,19967,2,105.54
1788902494,88,19993,2,106.62
1788902500,81,20001,2,111.21
1788902505,81,20023,2,113.36
1788902510,81,20043,2,124.70
1788902515,83,20067,2,125.85
1788902520,76,20087,2,128.90
1788902525,79,20087,2,128.99
1788902530,79,20087,2,130.75
1788902535,90,20087,2,134.78
1788902541,75,20087,2,139.04
1788902546,81,20087,2,140.24
1788902551,72,20087,2,142.46
1788902556,64,20088,2,141.30
1788902561,70,20087,2,146.32
1788902566,69,19565,2,147.58
1788902571,78,19583,2,157.06
1788902576,95,19607,2,159.06
1788902582,83,19631,2,159.86
1788902587,79,19657,2,160.27
1788902592,77,19683,2,160.17
1788902597,88,19703,2,163.12
1788902602,77,19713,2,167.83
1788902607,92,19735,2,165.68
1788902612,93,19755,2,166.99
1788902618,83,19777,2,171.39
1788902623,69,19801,2,175.77
