1788905151,81,20169,2,71.14
1788905156,80,20191,2,81.54
1788905161,85,20213,2,82.06
1788905166,78,20899,3,84.46
1788905171,86,20919,3,81.94
1788905176,84,20953,3,81.54
1788905181,87,20975,3,80.86
1788905186,82,20995,3,78.39
1788905191,66,21019,3,78.04
1788905196,85,21041,3,75.63
1788905202,82,21063,3,73.34
1788905207,84,21085,3,72.91
1788905212,80,21141,3,75.64
1788905217,83,21167,3,73.75
1788905222,86,21189,3,72.97
1788905227,89,21201,3,70.49
1788905232,86,21225,3,70.13
1788905237,90,21243,3,68.19
1788905242,82,21175,3,68.74
1788905247,85,21698,3,67.64
1788905252,83,23445,3,66.07
1788905258,88,23467,3,68.22
1788905263,90,23487,3,67.81
1788905268,84,23487,3,67.98
1788905273,81,23487,3,66.46
1788905278,81,23487,3,72.67
1788905283,83,23487,3,73.82
1788905288,87,23487,3,71.67
1788905293,80,23487,3,69.85
1788905298,74,23487,3,69.15
1788905303,84,23121,3,72.02
1788905308,89,27897,3,73.46
1788905314,84,27972,3,71.58
1788905319,85,27992,3,75.62
1788905324,86,28014,3,73.48
1788905329,84,31049,3,70.64
1788905334,79,31071,3,68.91
1788905339,79,31091,3,70.12
1788905344,84,31877,3,71.63
1788905349,94,31853,3,70.70
1788905355,88,31877,3,69.60
1788905360,87,31897,3,69.70
1788905365,89,31924,3,69.48
1788905370,85,31948,3,67.60
1788905375,80,31970,3,67.47
1788905380,88,31950,3,72.64
1788905385,86,31972,3,71.95
1788905390,88,31928,3,70.11
1788905396,62,31972,3,69.06
1788905401,59,32000,3,68.09
1788905406,74,31970,3,68.41
1788905411,86,31992,3,68.13
1788905416,85,32013,3,67.08
1788905421,88,31987,3,66.51
1788905426,91,32003,3,66.07
1788905432,81,32003,3,65.11
1788905443,87,32003,3,63.84
1788905448,85,32003,3,65.53
1788905453,68,32003,3,63.89
1788905458,3,32003,3,62.54
1788905463,86,31839,3,61.85
1788905468,85,31839,3,62.99
1788905473,88,31863,3,63.07
1788905479,83,31855,3,62.34
1788905484,82,31849,3,60.87
1788905489,81,31863,3,60.16
1788905494,85,31881,3,59.43
1788905499,88,31897,3,59.31
1788905504,84,31919,3,60.89
1788905509,58,31805,3,59.94
1788905514,86,31805,3,63.15
1788905520,84,31829,3,62.25
1788905525,91,31853,3,60.38
1788905530,90,31877,3,61.23
1788905535,85,31891,3,60.09
1788905540,81,31879,3,60.32
1788905545,88,31897,3,60.54
1788905550,80,31887,3,59.85
1788905555,93,31911,3,59.94
1788905561,53,31937,3,62.19
1788905566,82,31967,3,62.98
1788905571,82,31925,3,61.70
1788905576,84,31949,3,61.40
1788905581,84,31973,3,60.09
1788905586,83,31931,3,60.80
1788905591,83,31949,3,59.70
1788905596,79,31973,3,58.60
1788905602,81,31997,3,58.95
1788905607,87,31973,3,59.04
1788905612,88,31987,3,59.43
1788905617,89,32013,3,63.88
1788905622,83,31999,3,65.09
1788905627,84,32023,3,72.45
1788905633,86,32005,3,70.90
1788905638,82,32005,3,72.35
1788905643,77,32005,3,71.92
1788905648,86,32005,3,70.00
1788905653,88,32005,3,69.28
1788905658,84,32005,3,69.66
1788905663,64,32005,3,68.88
1788905668,81,32005,3,73.06
1788905674,90,31839,3,70.81
1788905679,84,31841,3,68.66
1788905684,84,31853,3,70.69
1788905689,89,31843,3,72.48
1788905694,81,31865,3,73.56
1788905699,84,31883,3,74.40
1788905704,87,31875,3,73.16
