1788902764,71,10468,1,116.55
1788902769,82,10504,1,108.18
1788902774,76,10544,2,101.28
1788902779,78,11094,2,93.89
1788902785,73,11142,2,91.74
1788902790,78,11188,2,84.87
1788902795,76,11269,2,78.71
1788902800,77,11315,2,74.89
1788902805,78,11489,2,69.30
1788902810,71,11511,2,64.15
1788902815,76,11545,2,59.49
1788902820,76,11555,2,55.29
1788902825,78,11555,2,51.26
1788902830,70,11555,2,69.02
1788902835,77,11555,2,63.73
1788902840,83,11031,2,61.75
1788902845,74,11078,2,57.52
1788902850,77,11125,2,53.72
1788902855,80,11169,2,51.66
1788902861,75,11031,2,48.96
1788902866,79,11073,2,46.40
1788902871,80,11123,2,44.21
1788902876,51,11169,2,41.95
1788902881,76,11201,2,40.19
1788902886,71,11245,2,38.17
1788902891,77,11291,2,36.56
1788902896,77,11337,2,34.99
1788902901,82,11371,2,33.55
1788902906,76,11581,2,32.71
1788902911,79,15251,2,30.57
1788902916,80,15299,2,28.68
1788902921,77,15333,2,28.30
1788902926,94,15531,2,27.16
1788902932,93,15659,2,25.54
