node	conc_max	start_utc	candidate	episodes	median_s_per_episode	img	kind
volc	2	09-05 01:11	volc-ppfix-rlb-c4-s3972	50	239	480	grasp
volc	2	09-05 01:13	volc-beaker100c48k-s3853	50	111	480	grasp
volc	2	09-05 02:46	volc-rlb8k-glass_beaker_250ml-s3951	50	233	480	grasp
volc	2	09-05 02:51	volc-c4fix8k-glass_cylinder_100ml-s3652	50	102	480	grasp
volc	2	09-05 03:02	volc-rlb8k-mortar-s3951	50	207	480	grasp
volc	2	09-05 04:33	volc-rlb8k-clear_volumetric_flask_250ml-s3953	50	224	480	grasp
volc	2	09-05 04:41	volc-c4fix8k-glass_cylinder_100ml-s3653	50	124	480	grasp
volc	2	09-05 05:55	volc-c4fix8k-brown_reagent_bottle_large-s3553	37	222	480	grasp
volc	2	09-05 06:01	volc-c4fix8k-clear_reagent_bottle_small-s3552	35	222	480	grasp
volc	2	09-05 06:41	volc-c4fix8k-clear_reagent_bottle_small-s3553	28	214	480	grasp
volc	2	09-05 10:56	volc-rlb8k-alcohol_lamp_last-s3951	28	157	?	grasp
volc	2	09-06 18:13	i224-act-slowmo2x-chunk4-s3315	50	288	224	grasp
volc	2	09-06 19:48	i224-act-rlb-clear_reagent_bottle_small16k-s3951	50	254	224	grasp
volc	2	09-07 14:37	i224-act-c4fix-glass_beaker_250ml8k-s3552	50	116	224	grasp
volc	2	09-07 16:18	i224-act-c4fix-glass_cylinder_100ml8k-s3653	39	589	224	grasp
volc	2	09-07 16:38	i224-act-c4fix8k-erlenmeyer_flask-s3551	50	513	224	grasp
volc	2	09-08 08:07	i224-act-c4fix-alcohol_lamp8k-s3553	50	191	224	grasp
volc	2	09-08 08:08	i224-act-c4fix-alcohol_lamp8k-s3554	50	226	224	grasp
volc	2	09-08 08:18	i224-act-c4fix-alcohol_lamp8k-s3555	50	215	224	grasp
volc	2	09-08 09:29	i224-act-slowmo2x-chunk4-relabelv2-8k-s3924	50	144	224	grasp
volc	2	09-08 11:54	i224-act-ppmfao-raw8k-s3961	28	326	224	pp
volc	2	09-08 12:14	i224-act-slowmo2x-chunk4-relabelv2-8k-s3925	50	111	224	grasp
volc	2	09-08 12:21	i224-act-c4fix-brown_reagent_bottle_large8k-s3555	50	139	224	grasp
volc	3	09-05 08:30	i224-act-rlb-glass_beaker_250ml8k-s3953	50	348	224	grasp
volc	3	09-05 08:31	i224-act-rlb-glass_beaker_250ml8k-s3952	50	348	224	grasp
volc	3	09-05 09:25	i224-act-rlb-mortar8k-s3952	50	355	224	grasp
volc	3	09-05 10:19	i224-act-rlb-erlenmeyer_flask8k-s3952	50	375	224	grasp
volc	3	09-05 11:54	i224-act-rlb-alcohol_lamp8k-s3952	50	124	224	grasp
volc	3	09-05 12:12	i224-act-rlb-alcohol_lamp8k-s3953	50	117	224	grasp
volc	3	09-05 12:43	i224-act-rlb-brown_reagent_bottle_large8k-s3951	50	274	224	grasp
volc	3	09-05 13:20	volc-rlb16k-alcohol_lamp-s3951	50	571	224	grasp
volc	3	09-05 14:05	volc-rlb16k-alcohol_lamp-s3952	50	251	224	grasp
volc	3	09-05 14:25	i224-act-rlb-brown_reagent_bottle_large8k-s3952	50	286	224	grasp
volc	3	09-05 14:43	volc-rlb16k-alcohol_lamp-s3953	50	247	224	grasp
volc	3	09-05 15:13	i224-act-rlb-brown_reagent_bottle_large8k-s3953	50	274	224	grasp
volc	3	09-05 16:49	i224-act-rlb-brown_volumetric_flask_250ml8k-s3952	50	330	224	grasp
volc	3	09-05 17:42	i224-act-rlb-brown_volumetric_flask_250ml8k-s3953	50	340	224	grasp
volc	3	09-05 18:27	i224-act-rlb-clear_reagent_bottle_large8k-s3952	50	274	224	grasp
volc	3	09-05 18:32	i224-act-rlb-clear_reagent_bottle_large8k-s3953	50	249	224	grasp
volc	3	09-05 19:24	i224-act-rlb-clear_reagent_bottle_small8k-s3952	50	285	224	grasp
volc	3	09-05 19:37	i224-act-rlb-clear_reagent_bottle_small8k-s3953	50	334	224	grasp
volc	3	09-05 21:40	i224-act-rlb-clear_volumetric_flask_250ml8k-s3951	50	312	224	grasp
volc	3	09-05 21:59	i224-act-rlb-clear_volumetric_flask_250ml8k-s3952	50	305	224	grasp
volc	3	09-05 22:05	i224-act-rlb-clear_volumetric_flask_250ml8k-s3953	50	292	224	grasp
volc	3	09-05 22:06	i224-act-rlb-erlenmeyer_flask8k-s3953	50	294	224	grasp
volc	3	09-06 00:12	i224-act-rlb-glass_cylinder_100ml8k-s3951	50	248	224	grasp
volc	3	09-06 01:53	i224-act-rlb-glass_cylinder_100ml8k-s3952	50	249	224	grasp
volc	3	09-06 01:54	i224-act-rlb-glass_cylinder_100ml8k-s3953	50	248	224	grasp
volc	3	09-06 02:08	i224-act-rlb-mortar8k-s3953	45	682	224	grasp
volc	3	09-06 02:09	i224-act-rlb-plastic_cylinder_100ml8k-s3952	50	275	224	grasp
volc	3	09-06 02:37	i224-act-rlb-plastic_cylinder_100ml8k-s3953	50	235	224	grasp
volc	3	09-06 03:40	i224-act-rlb8k-alcohol_lamp-s3951	50	227	224	grasp
volc	3	09-06 05:20	i224-act-rlb8k-brown_volumetric_flask_250ml-s3951	50	170	224	grasp
volc	3	09-06 05:22	i224-act-rlb8k-clear_reagent_bottle_large-s3951	50	135	224	grasp
volc	3	09-06 06:00	i224-act-rlb8k-clear_reagent_bottle_small-s3951	50	247	224	grasp
volc	3	09-06 07:20	i224-act-rlb8k-erlenmeyer_flask-s3951	50	166	224	grasp
volc	3	09-06 07:38	i224-act-rlb8k-glass_beaker_250ml-s3951	50	356	224	grasp
volc	3	09-06 07:47	i224-act-rlb8k-mortar-s3951	46	473	224	grasp
volc	3	09-06 08:16	i224-act-rlb8k-plastic_cylinder_100ml-s3951	50	128	224	grasp
volc	3	09-06 09:09	i224-act-slowmo2x-chunk16-s3302	50	293	224	grasp
volc	3	09-06 09:46	i224-act-slowmo2x-chunk4-relabelv2-8k-s3921	50	326	224	grasp
volc	3	09-06 09:57	i224-act-slowmo2x-chunk4-relabelv2-8k-s3922	50	270	224	grasp
volc	3	09-06 10:13	i224-act-slowmo2x-chunk4-relabelv2-s3901	50	277	224	grasp
volc	3	09-06 12:51	i224-act-slowmo2x-chunk4-relabelv2-s3902	50	154	224	grasp
volc	3	09-06 13:45	i224-act-slowmo2x-chunk4-relabelv2-s3903	50	416	224	grasp
volc	3	09-06 14:20	i224-act-slowmo2x-chunk4-s3301	50	188	224	grasp
volc	3	09-06 14:36	i224-act-slowmo2x-chunk4-s3311	50	274	224	grasp
volc	3	09-06 14:40	i224-act-slowmo2x-chunk4-s3312	50	163	224	grasp
volc	3	09-06 14:47	i224-act-slowmo2x-chunk4-s3313	50	277	224	grasp
volc	3	09-06 15:41	i224-act-slowmo2x-chunk4-s3314	50	280	224	grasp
volc	3	09-06 18:19	i224-act-rlb-alcohol_lamp16k-s3951	50	245	224	grasp
volc	3	09-06 18:51	i224-act-rlb-alcohol_lamp16k-s3952	50	250	224	grasp
volc	3	09-06 19:08	i224-act-rlb-clear_volumetric_flask_250ml16k-s3951	50	329	224	grasp
volc	3	09-07 00:04	i224-act-slowmo2x-kl0-s3303	50	357	224	grasp
volc	3	09-07 00:10	i224-act-slowmo2x-kl10-s3304	50	195	224	grasp
volc	3	09-07 00:10	i224-act-rlb-clear_reagent_bottle_large16k-s3951	50	186	224	grasp
volc	3	09-07 02:37	i224-act-slowmo2x-kl10-s3305	50	325	224	grasp
volc	3	09-07 03:11	i224-act-slowmo2x-kl10-s3306	50	159	224	grasp
volc	3	09-07 03:19	i224-act-rlb-brown_volumetric_flask_250ml16k-s3953	50	164	224	grasp
volc	3	09-07 03:20	i224-act-slowmo2x-kl10-s3307	50	157	224	grasp
volc	3	09-07 03:22	i224-act-slowmo2x-kl10-s3308	50	346	224	grasp
volc	3	09-07 05:11	i224-act-rlb-brown_volumetric_flask_250ml16k-s3951	50	166	224	grasp
volc	3	09-07 05:36	i224-act-slowmo2x-kl10-s3309	50	156	224	grasp
volc	3	09-07 06:13	i224-act-slowmo2x-lr3e5-s3305	50	360	224	grasp
volc	3	09-07 06:17	i224-act-beaker100c48k-s3851	50	198	224	grasp
volc	3	09-07 06:40	i224-act-beaker100c48k-s3852	50	149	224	grasp
volc	3	09-07 07:05	i224-act-beaker100c48k-s3853	50	206	224	grasp
volc	3	09-07 07:30	i224-act-beaker100c4-s3801	50	185	224	grasp
volc	3	09-07 08:26	i224-act-beaker100c4-s3802	50	181	224	grasp
volc	3	09-07 09:15	i224-act-beaker100c4-s3803	50	193	224	grasp
volc	3	09-07 09:59	i224-act-c4fix-alcohol_lamp8k-s3552	50	413	224	grasp
volc	3	09-07 10:04	i224-act-rlb-mortar16k-s3951	50	503	224	grasp
volc	3	09-07 10:33	i224-act-c4fix-brown_reagent_bottle_large8k-s3552	50	207	224	grasp
volc	3	09-07 10:39	i224-act-c4fix-brown_volumetric_flask_250ml8k-s3551	50	230	224	grasp
volc	3	09-07 12:02	i224-act-c4fix-clear_reagent_bottle_large8k-s3552	50	181	224	grasp
volc	3	09-07 13:29	i224-act-c4fix-clear_reagent_bottle_small8k-s3551	50	141	224	grasp
volc	3	09-07 13:50	i224-act-c4fix-erlenmeyer_flask8k-s3552	50	124	224	grasp
volc	3	09-07 15:33	i224-act-rlb-clear_reagent_bottle_small__ao_8k-s3961	26	1285	224	grasp
volc	3	09-07 15:35	i224-act-c4fix-glass_cylinder_100ml8k-s3651	43	599	224	grasp
volc	3	09-07 15:38	i224-act-c4fix-glass_cylinder_100ml8k-s3652	46	579	224	grasp
volc	3	09-07 22:33	i224-act-pprlb-sm2x8k-c168k-s3991	24	1013	224	pp
volc	3	09-07 22:35	i224-act-pprlb-sm2x8k-c168k-s3992	24	1010	224	pp
volc	3	09-07 22:38	i224-act-pprlb-sm2x8k-c88k-s3981	24	1013	224	pp
volc	3	09-07 22:59	i224-act-rlb-clear_reagent_bottle_small__ao_8k-s3962	26	955	224	grasp
volc	3	09-07 23:18	i224-act-pprlb-sm2x8k-c88k-s3982	24	1018	224	pp
volc	3	09-08 05:34	i224-act-rlb-erlenmeyer_flask__ao_8k-s3961	50	327	224	grasp
volc	3	09-08 06:19	i224-act-c4fix8k-pp_sm2x-s3761	33	425	224	grasp
volc	3	09-08 12:12	i224-act-c4fix-brown_reagent_bottle_large8k-s3554	50	144	224	grasp
volc	3	09-08 13:55	i224-act-slowmo2x-chunk4-relabelv2-8k-s3923	15	962	224	grasp
volc	3	09-08 13:55	i224-act-c4fix-brown_volumetric_flask_250ml8k-s3552	14	1036	224	grasp
volc	4	09-06 22:21	i224-act-slowmo2x-chunk4-s3316	50	289	224	grasp
volc	4	09-06 23:15	i224-act-slowmo2x-chunk4-s3317	50	231	224	grasp
volc	4	09-06 23:34	i224-act-rlb-clear_reagent_bottle_large16k-s3953	50	208	224	grasp
volc	4	09-06 23:34	i224-act-slowmo2x-control-r1-s3306	50	229	224	grasp
