node	conc_max	start_utc	candidate	episodes	median_s_per_episode	img	kind
bjxy	1	09-06 16:08	bjxy-rlb8k-glass_cylinder_100ml-s3955	50	29	224	grasp
bjxy	1	09-06 16:37	bjxy-rlb8k-glass_cylinder_100ml-s3954	50	37	224	grasp
bjxy	1	09-06 17:14	bjxy-rlb24k-glass_beaker_250ml-s3952	50	86	224	grasp
bjxy	1	09-06 18:29	bjxy-rlb24k-glass_beaker_250ml-s3951	50	88	224	grasp
bjxy	1	09-06 19:58	bjxy-c4fix8k-clear_reagent_bottle_small-s3553	50	51	224	grasp
bjxy	1	09-06 21:44	bjxy-rlb24k-erlenmeyer_flask-s3953	25	80	224	grasp
bjxy	1	09-06 22:23	bjxy-c4fix8k-clear_reagent_bottle_small-s3552	50	44	224	grasp
bjxy	1	09-06 23:09	bjxy-rlb24k-clear_reagent_bottle_small-s3953	50	63	224	grasp
bjxy	1	09-07 00:13	bjxy-rlb24k-clear_reagent_bottle_small-s3951	50	23	224	grasp
bjxy	1	09-07 00:37	bjxy-rlb24k-erlenmeyer_flask-s3951	50	24	224	grasp
bjxy	1	09-07 01:01	bjxy-rlb8k-brown_volumetric_flask_250ml-s3955	50	28	224	grasp
bjxy	1	09-07 01:28	bjxy-rlb8k-brown_reagent_bottle_large-s3955	50	23	224	grasp
bjxy	1	09-07 01:51	bjxy-rlb8k-alcohol_lamp-s3955	50	22	224	grasp
bjxy	1	09-07 02:12	bjxy-rlb16k-erlenmeyer_flask-s3952	50	18	224	grasp
bjxy	1	09-07 02:32	bjxy-rlb8k-erlenmeyer_flask-s3954	50	25	224	grasp
bjxy	1	09-07 02:57	bjxy-rlb8k-clear_reagent_bottle_small-s3955	50	30	224	grasp
bjxy	1	09-07 07:00	bjxy-c4fix8k-brown_reagent_bottle_large-s3553	50	43	224	grasp
bjxy	1	09-07 09:06	bjxy-rlb16k-alcohol_lamp-s3951	50	41	224	grasp
bjxy	1	09-07 12:01	bjxy-c4fix8k-brown_reagent_bottle_large-s3551	50	55	224	grasp
bjxy	1	09-07 12:21	bjxy-c4fix8k-alcohol_lamp-s3551	50	53	224	grasp
bjxy	1	09-07 13:28	bjxy-c4fix8k-plastic_cylinder_100ml-s3552	50	47	224	grasp
bjxy	1	09-07 17:14	bjxy-c4fix8k-glass_beaker_250ml-s3553	50	24	224	grasp
bjxy	1	09-07 17:30	bjxy-rlb8k-glass_beaker_250ml__kl10_-s3961	50	23	224	grasp
bjxy	1	09-07 17:40	bjxy-rlb8k-glass_beaker_250ml__c8_-s3963	50	76	224	grasp
bjxy	1	09-07 18:05	bjxy-rlb8k-glass_beaker_250ml__c8_-s3962	50	26	224	grasp
bjxy	1	09-07 18:42	bjxy-rlb8k-glass_beaker_250ml__c8_-s3961	50	83	224	grasp
bjxy	1	09-07 18:49	bjxy-rlb8k-glass_beaker_250ml__c16_-s3963	50	79	224	grasp
bjxy	1	09-07 19:52	bjxy-c4fix8k-glass_cylinder_100ml-s3555	50	40	224	grasp
bjxy	1	09-07 20:03	bjxy-rlb8k-glass_beaker_250ml__c16_-s3962	50	82	224	grasp
bjxy	1	09-07 20:38	bjxy-c4fix8k-clear_volumetric_flask_250ml-s3552	50	42	224	grasp
bjxy	1	09-07 21:23	bjxy-c4fix8k-clear_volumetric_flask_250ml-s3555	50	46	224	grasp
bjxy	1	09-08 00:08	bjxy-c4fix8k-glass_cylinder_100ml-s3554	50	35	224	grasp
bjxy	1	09-08 00:22	bjxy-rlb8k-glass_beaker_250ml__ao_-s3962	50	25	224	grasp
bjxy	1	09-08 00:49	bjxy-rlb8k-glass_beaker_250ml__ao_-s3961	50	25	224	grasp
bjxy	1	09-08 00:56	bjxy-rlb8k-erlenmeyer_flask__ao_-s3962	50	30	224	grasp
bjxy	1	09-08 01:17	bjxy-rlb8k-erlenmeyer_flask__ao_-s3961	50	35	224	grasp
bjxy	1	09-08 07:57	bjxy-c4fix8k-brown_volumetric_flask_250ml-s3553	50	163	224	grasp
bjxy	1	09-08 13:53	bjxy-c4fix8k-glass_beaker_250ml-s3555	50	26	224	grasp
bjxy	1	09-08 14:20	bjxy-pp6-act-ppmfv2-raw8k-s3961	50	124	224	grasp
bjxy	1	09-08 14:25	bjxy-c4fix8k-glass_beaker_250ml-s3554	50	34	224	grasp
bjxy	1	09-08 15:16	bjxy-c4fix8k-erlenmeyer_flask-s3555	50	46	224	grasp
bjxy	1	09-08 15:57	bjxy-pp6-act-ppmforig-raw8k-s3961	50	123	224	grasp
bjxy	1	09-08 15:59	bjxy-c4fix8k-erlenmeyer_flask-s3554	50	41	224	grasp
bjxy	1	09-08 16:40	bjxy-c4fix8k-erlenmeyer_flask-s3553	50	42	224	grasp
bjxy	2	09-01 20:33	nosdf50-act-chunk4-s3315	50	75	480	grasp
bjxy	2	09-01 20:39	nosdf50-dp-relabel-state-400d-s8001	50	122	480	grasp
bjxy	2	09-02 20:41	nosdf50-beaker100c4-s3803	15	100	480	grasp
bjxy	2	09-02 20:48	nosdf50-c4fix-glass_beaker_250ml-s3501	50	60	480	grasp
bjxy	2	09-04 20:39	bjxy-rlb8k-pp_glass_beaker_100ml-s3953	25	132	480	pp
bjxy	2	09-04 20:39	bjxy-rlb8k-pp_glass_beaker_100ml-s3952	12	168	480	pp
bjxy	2	09-06 01:08	bjxy-rlb16k-clear_reagent_bottle_large-s3952	50	62	224	grasp
bjxy	2	09-06 01:20	bjxy-rlb16k-brown_reagent_bottle_large-s3952	25	152	224	grasp
bjxy	2	09-06 10:40	bjxy-rlb16k-brown_reagent_bottle_large-s3953	50	59	224	grasp
bjxy	2	09-07 08:15	bjxy-c4fix8k-plastic_cylinder_100ml-s3551	50	52	224	grasp
bjxy	2	09-07 08:15	bjxy-rlb16k-alcohol_lamp-s3952	50	44	224	grasp
bjxy	2	09-07 09:15	bjxy-c4fix8k-mortar-s3551	50	103	224	grasp
bjxy	2	09-07 10:02	bjxy-c4fix8k-glass_beaker_250ml-s3551	50	43	224	grasp
bjxy	2	09-07 11:01	bjxy-c4fix8k-clear_volumetric_flask_250ml-s3551	50	70	224	grasp
bjxy	2	09-07 11:05	bjxy-c4fix8k-clear_reagent_bottle_large-s3551	50	62	224	grasp
bjxy	2	09-07 14:12	bjxy-rlb8k-glass_beaker_250ml__kl10_-s3963	50	158	224	grasp
bjxy	2	09-07 14:15	bjxy-c4fix8k-mortar-s3552	25	175	224	grasp
bjxy	2	09-07 16:03	bjxy-c4fix8k-plastic_cylinder_100ml-s3553	50	55	224	grasp
bjxy	2	09-07 16:46	bjxy-rlb8k-glass_beaker_250ml__kl10_-s3962	50	44	224	grasp
bjxy	2	09-07 21:24	bjxy-rlb8k-glass_beaker_250ml__c16_-s3961	50	80	224	grasp
bjxy	2	09-07 22:13	bjxy-c4fix8k-clear_volumetric_flask_250ml-s3554	50	63	224	grasp
bjxy	2	09-07 22:44	bjxy-rlb8k-glass_beaker_250ml__ao_-s3963	50	126	224	grasp
bjxy	2	09-07 23:08	bjxy-c4fix8k-clear_volumetric_flask_250ml-s3553	50	60	224	grasp
bjxy	2	09-08 13:04	bjxy-pp6-act-pprlbao-raw8k-s3961	50	74	224	grasp
